Apellidos	Bodega	Código	Nombre del artículo	Línea	No. de parte	Unidad	Cantidad disponible	Precio	Proveedor	Detalles del artículo
0528891	05	28891	"TUNO H.N S/COSTURA C-80 1/2"""	VAPOR		CU	0	11128	TUBOCOBRE	
0528892	05	28892	"UNION TOPE H.N C/R C-150 1"""	VAPOR		CU	0	1760	TUBOCOBRE	
0528893	05	28893	"UNION TOPE H.N C/R C-150 2"""	VAPOR		CU	0	4710	TUBOCOBRE	
0528898	05	28898	"UNION TOPE H.N C/R C-150 1/2"""	VAPOR		CU	0	1215	TUBOCOBRE	
0528900	05	28900	"REDUC CAMP ROSC C-150 1"" X 1/2"""	VAPOR		CU	0	449	TUBOCOBRE	
0528901	05	28901	"REDUC CAMP ROSC C-150 2"" X 1-1/4"""	VAPOR		CU	0	1229	TUBOCOBRE	
0528902	05	28902	"NIPLE H.N C-40 1/2"" X 4"""	VAPOR		CU	0	312	TUBOCOBRE	
0528903	05	28903	"REDUC CAMP ROSC H.N C-150 1/2"" X 1/4"""	VAPOR		CU	0	221	TUBOCOBRE	
0528904	05	28904	"REDUC CAMP H.N ROSC C-150 1-1/4"" X 1"""	VAPOR		CU	0	615	TUBOCOBRE	
0528905	05	28905	"CANUELA F/V C/B 1-1/4"" X 0.90CM"	VAPOR		CU	0	2590	TECNOVAL	
0528906	05	28906	"CANUELA F/V C/B 2"" X 0.90CM"	VAPOR		CU	0	4040	TECNOVAL	
0528907	05	28907	"FLEJE ALUMINIO 1/2"""	VAPOR		RL	0	24006	TECNOVAL	
0528908	05	28908	"GRAPA P/FLEJE ALUMINIO 1/2"""	VAPOR		DOC	0	455	TECNOVAL	
0528939	05	28939	"UNION SENC H.N C/R 1/4"""	VAPOR		CU	0	275	TECNOVAL	
0528940	05	28940	"UNION SENC H.N C/R C-150 1/2"""	VAPOR		CU	6	225	TECNOVAL	Unión sencilla hierro negro cedula 40 con rosca 3/4
0528941	05	28941	"UNION SENC C/R AC/INOX 1-1/2"""	VAPOR		CU	0	3125	TUBOCOBRE	
0528942	05	28942	"REDUC BUSHING C-40 1""-1/2"""	VAPOR		CU	2	381	FACENIL	
0528943	05	28943	TAPON H.N INT C/R C-150 1-1/4	VAPOR		CU	0	340	TUBOCOBRE	
0528944	05	28944	REDUC BUSH H.N C/R C-150 3/4 X 1/2	VAPOR		CU	0	210	TUBOCOBRE	
0528945	05	28945	REDUC BUSH H.N C/R C-150 1-1/4 X 1/2	VAPOR		CU	0	455	TUBOCOBRE	
0528946	05	28946	REDUC BUSH H.N C/R C-150 1-1/4 X 1	VAPOR		CU	0	460	TUBOCOBRE	
0528947	05	28947	TAPON H.N EXT C/R C-150 1-1/4	VAPOR		CU	0	470	TUBOCOBRE	
0528948	05	28948	"BRIDA PVC C-150 2-1/2"""	VAPOR		CU	0	5135	TUBOCOBRE	
0528949	05	28949	"BRIDA PVC C-150 1-1/2"""	VAPOR		CU	0	2565	TUBOCOBRE	
0528950	05	28950	"BRIDA PVC C-150 3"""	VAPOR		CU	0	5260	TUBOCOBRE	
0528951	05	28951	"BRIDA PVC C-150 6"""	VAPOR	2244-7233	CU	0	13120	TUBOCOBRE	
